time,seconds_elapsed,z,y,x,label
1.61696E+18,-73.61067236,0.063252283,0.031118776,-0.304971666,2
1.61696E+18,-73.60073926,0.192748431,-0.097889881,-0.275069572,2
1.61696E+18,-73.59080713,0.178701055,-0.157682963,-0.264976194,2
1.61696E+18,-73.58087427,-0.037253918,0.118131289,-0.261463363,2
1.61696E+18,-73.57094116,-0.501687978,0.345517903,-0.181685332,2
1.61696E+18,-73.5610083,-0.965150854,0.484742834,-0.151446407,2
1.61696E+18,-73.5510752,-1.276468235,0.709114484,-0.221976718,2
1.61696E+18,-73.54114209,-1.883027185,0.287402983,-0.020874884,2
1.61696E+18,-73.53120923,-2.201753527,-0.948104442,0.618291911,2
1.61696E+18,-73.52127637,-2.072534588,0.785708479,0.319053967,2
1.61696E+18,-73.51134326,-1.0879741,0.506920764,0.982800785,2
1.61696E+18,-73.50141138,0.475779775,-0.494228455,1.695779543,2
1.61696E+18,-73.49147827,0.909134879,-0.960811948,1.737083759,2
1.61696E+18,-73.48154517,1.328003338,-0.984950948,1.393459122,2
1.61696E+18,-73.4716123,1.817642128,-0.839146055,0.774048875,2
1.61696E+18,-73.4616792,1.948963738,-0.361085475,-0.095057726,2
1.61696E+18,-73.45174634,1.767280891,0.014314941,-0.873380333,2
1.61696E+18,-73.44181323,1.076221776,0.28531098,-1.238624388,2
1.61696E+18,-73.43188037,-0.588036035,-0.252642636,-1.636792516,2
1.61696E+18,-73.42194727,-3.083857995,-0.689243078,-2.328430819,2
1.61696E+18,-73.41201416,-3.764806123,0.311879838,-2.478338033,2
1.61696E+18,-73.40208228,-1.936926679,0.965453636,-1.760971269,2
1.61696E+18,-73.39214917,0.166827297,-0.763808197,-1.295139326,2
1.61696E+18,-73.38221606,1.727418836,-1.46106507,-1.748922519,2
1.61696E+18,-73.37228345,0.485952283,0.481065607,-1.121508852,2
1.61696E+18,-73.36235034,-1.278914605,-0.411271355,0.310333339,2
1.61696E+18,-73.35241724,-1.421024152,-0.984552889,0.742089556,2
1.61696E+18,-73.34248413,-0.826365995,-0.513507741,0.715771165,2
1.61696E+18,-73.33255127,-0.173064657,-0.570733018,0.605569062,2
1.61696E+18,-73.32261841,0.46780339,-0.748386756,0.362428998,2
1.61696E+18,-73.31268628,0.773257067,-0.812862443,0.052950815,2
1.61696E+18,-73.30275317,0.654816565,-0.839583277,-0.376143782,2
1.61696E+18,-73.29282007,0.448771357,-0.868307852,-0.738786569,2
1.61696E+18,-73.28288745,0.376160367,-1.025423828,-0.972845062,2
1.61696E+18,-73.27295435,0.40728382,-1.233189796,-1.037238039,2
1.61696E+18,-73.26302124,0.474843956,-1.13963356,-1.026542019,2
1.61696E+18,-73.25308813,0.738625314,-0.567999794,-1.068812742,2
1.61696E+18,-73.24315527,0.942262292,0.371327467,-1.187100245,2
1.61696E+18,-73.23322241,0.720658207,1.288140699,-1.42773344,2
