time,seconds_elapsed,z,y,x,label
1.61696E+18,-73.64569995,-0.080116908,0.262152222,0.117326695,2
1.61696E+18,-73.63576685,-0.163136552,0.163005619,0.142754859,2
1.61696E+18,-73.62583472,-0.205179897,-0.018545126,0.066160316,2
1.61696E+18,-73.61590186,-0.284539411,-0.408612365,0.025089725,2
1.61696E+18,-73.60596973,-0.006456921,-0.613115531,-0.150772709,2
1.61696E+18,-73.59603662,0.307541516,-0.422292515,-0.346666489,2
1.61696E+18,-73.58610474,0.287751943,-0.267313551,-0.411982426,2
1.61696E+18,-73.57617261,0.220966956,-0.301419234,-0.514957319,2
1.61696E+18,-73.56623975,-0.672100512,0.169670338,-0.261343207,2
1.61696E+18,-73.55630786,-1.927835318,0.3237053,0.241993268,2
1.61696E+18,-73.54637476,-1.659982399,-0.09175357,0.501218789,2
1.61696E+18,-73.53644287,-0.23954803,-0.526452563,0.55176415,2
1.61696E+18,-73.52651001,0.954402665,-0.705620797,0.591933627,2
1.61696E+18,-73.51657788,1.621340972,-0.476032289,0.679740506,2
1.61696E+18,-73.50664478,1.396931182,-0.198777775,0.699489454,2
1.61696E+18,-73.49671265,0.327184959,0.032161563,0.601972206,2
1.61696E+18,-73.48677979,-0.242498258,0.178657947,0.329350905,2
1.61696E+18,-73.47684766,-0.117112468,0.005559972,0.049065644,2
1.61696E+18,-73.46691553,-0.100901338,-0.033073418,-0.070619304,2
1.61696E+18,-73.45698291,-0.035125089,-0.230958627,-0.148180391,2
1.61696E+18,-73.44705078,-0.188587658,-0.584259439,-0.357923138,2
1.61696E+18,-73.43711768,-0.246826204,-0.336641354,-0.394635935,2
1.61696E+18,-73.42718604,-0.129424252,0.000955109,-0.278368029,2
1.61696E+18,-73.41725293,0.438344656,2.080907864,-0.253482009,2
1.61696E+18,-73.4073208,-0.200734608,1.068642792,0.406732908,2
1.61696E+18,-73.39738794,-1.390835204,-0.518443444,0.889615793,2
1.61696E+18,-73.38745581,0.245194073,0.208982942,0.148728672,2
1.61696E+18,-73.37752271,0.248643337,0.000172434,0.050679509,2
1.61696E+18,-73.36759082,-0.215489401,-0.255040929,0.005168854,2
1.61696E+18,-73.35765869,-0.422970999,-0.710360685,0.05675218,2
1.61696E+18,-73.34772559,-0.221767459,-0.759725312,0.128537898,2
1.61696E+18,-73.3377937,-0.023203181,-0.365817179,0.15213965,2
1.61696E+18,-73.32786084,0.129644763,-0.037694648,-0.072195979,2
1.61696E+18,-73.31792871,0.134558254,0.269157717,-0.446624627,2
1.61696E+18,-73.30799561,0.087073157,0.36723523,-0.663665642,2
1.61696E+18,-73.29806396,0.124050743,0.294839855,-0.695321229,2
1.61696E+18,-73.28813086,0.178265294,0.170495098,-0.668771002,2
1.61696E+18,-73.27819873,0.270681566,-0.009722353,-0.645396045,2
1.61696E+18,-73.26826587,0.430428914,-0.232951262,-0.688968426,2
1.61696E+18,-73.25833374,0.468326098,-0.357128846,-0.765598515,2
1.61696E+18,-73.24840161,0.516598254,-0.374706004,-0.852906211,2
1.61696E+18,-73.23846875,0.584026215,-0.238793559,-0.892495075,2
1.61696E+18,-73.22853662,0.655017714,0.135535429,-0.83131748,2
1.61696E+18,-73.21860376,0.728555244,0.935684521,-0.645848977,2
1.61696E+18,-73.20867188,1.465269098,1.15335755,-1.020326432,2
1.61696E+18,-73.19873877,0.567262127,1.52548289,-0.955975029,2
1.61696E+18,-73.18880688,-1.26925655,0.419782578,0.532441282,2
1.61696E+18,-73.17887402,-0.730506962,-0.734284581,0.738732427,2
1.61696E+18,-73.16894189,0.058940849,-1.821578883,0.069782854,2
1.61696E+18,-73.15900977,0.107236532,-1.369662798,-0.111893235,2
1.61696E+18,-73.14907788,0.068174542,-0.539805965,0.082829382,2
1.61696E+18,-73.13914575,-0.145602065,0.058155252,0.158160517,2
1.61696E+18,-73.12921265,-0.440886011,0.231190682,0.004236067,2
1.61696E+18,-73.11928101,-0.521647208,0.400989031,0.047256841,2
1.61696E+18,-73.1093479,-0.544157584,0.456675262,0.203882148,2
1.61696E+18,-73.09941577,-0.615233839,0.314529475,0.32243338,2
1.61696E+18,-73.08948291,-0.676356124,0.05259528,0.383712609,2
1.61696E+18,-73.07955078,-0.659635729,-0.218320095,0.396577973,2
1.61696E+18,-73.06961792,-0.654548197,-0.371806191,0.360137088,2
1.61696E+18,-73.05968604,-0.611328648,-0.393088633,0.335777723,2
1.61696E+18,-73.04975293,-0.553450825,-0.315864523,0.327964821,2
1.61696E+18,-73.0398208,-0.447854681,-0.165546536,0.358230451,2
1.61696E+18,-73.02988892,-0.338463747,-0.055028644,0.402376174,2
1.61696E+18,-73.01995581,-0.254178029,0.02666472,0.400641313,2
1.61696E+18,-73.01002368,-0.162355631,0.068587799,0.398445776,2
1.61696E+18,-73.00009058,0.037777723,0.104039051,0.307602927,2
1.61696E+18,-72.99015894,0.254005448,0.137603467,0.144069594,2
1.61696E+18,-72.98022583,0.526607461,0.133089789,-0.007620704,2
1.61696E+18,-72.97029395,0.804916891,0.057025371,-0.121832263,2
1.61696E+18,-72.96036084,1.032068673,-0.052104281,-0.251158535,2
1.61696E+18,-72.95042871,1.250081456,-0.10621055,-0.440521634,2
1.61696E+18,-72.94049585,1.415278302,-0.101961076,-0.676033468,2
1.61696E+18,-72.93056396,1.378730048,0.048096799,-0.958480217,2
1.61696E+18,-72.92063184,1.412497293,0.251263749,-1.1468649,2
1.61696E+18,-72.91069873,1.428266524,0.451442037,-1.180022489,2
1.61696E+18,-72.90076685,1.400649472,0.639420186,-1.223221944,2
1.61696E+18,-72.89083374,1.562356869,0.655738868,-1.245226271,2
1.61696E+18,-72.88090186,1.531674145,0.624281069,-1.34862907,2
1.61696E+18,-72.87096899,1.303449912,0.636020606,-1.528375396,2
1.61696E+18,-72.86103687,1.208153043,0.564883708,-1.659713665,2
1.61696E+18,-72.85110376,1.346594641,0.393563849,-1.674436603,2
1.61696E+18,-72.84117188,1.60420396,0.082505265,-1.513453429,2
1.61696E+18,-72.83123901,1.567640946,-0.252843127,-1.13735977,2
1.61696E+18,-72.82130688,1.122116024,-0.463911058,-0.649120326,2
1.61696E+18,-72.811375,0.422637968,-0.766364896,0.0611255,2
1.61696E+18,-72.80144189,-0.138459646,-0.980227427,0.733280153,2
1.61696E+18,-72.79150977,-0.444902407,-0.983174002,1.148067042,2
1.61696E+18,-72.78157666,-0.896310396,-0.588581979,1.811472791,2
1.61696E+18,-72.77164478,-0.851036691,-0.316857626,2.520860247,2
1.61696E+18,-72.76171167,-0.750217917,-0.349820569,2.834868621,2
1.61696E+18,-72.75177979,-1.217284809,-0.679515465,2.556077691,2
1.61696E+18,-72.74184692,-1.404794609,-1.531470147,1.892451577,2
1.61696E+18,-72.73191479,-1.058018523,-2.710919001,1.337645904,2
1.61696E+18,-72.72198267,-0.695721042,-3.527272793,1.019440443,2
1.61696E+18,-72.7120498,-0.408889428,-3.918018078,0.61357935,2
1.61696E+18,-72.70211768,-1.022350705,-4.265353844,0.584503514,2
1.61696E+18,-72.69218481,-1.778710047,-3.883338979,1.168112928,2
1.61696E+18,-72.68225293,-2.125046573,-2.735742476,1.868838939,2
1.61696E+18,-72.67231982,-2.072228299,-1.704409716,2.673471898,2
1.61696E+18,-72.6623877,-1.553633756,-1.158989418,3.209413005,2
1.61696E+18,-72.65245483,-1.391570971,-1.155409806,3.062350804,2
1.61696E+18,-72.64252295,-1.188726385,-1.932680127,2.75032016,2
1.61696E+18,-72.63258984,-1.821885172,-3.166879393,2.285498417,2
1.61696E+18,-72.62265796,-1.966967304,-4.343458828,1.861778791,2
1.61696E+18,-72.61272583,-1.528286841,-5.22809939,1.618410472,2
1.61696E+18,-72.60279272,-1.424634159,-5.60991961,1.431759189,2
1.61696E+18,-72.59286084,-1.361548465,-5.071691854,1.069866489,2
1.61696E+18,-72.58292798,-1.695847055,-3.873976107,0.74476389,2
1.61696E+18,-72.57299585,-2.047389041,-2.515587567,0.773744777,2
1.61696E+18,-72.56306274,-1.586388901,-1.040765775,1.104402965,2
1.61696E+18,-72.55313086,-1.639690868,0.140237907,1.150376196,2
1.61696E+18,-72.54319775,-0.217557294,0.96871293,0.90382194,2
1.61696E+18,-72.53326563,1.808231325,1.618639312,0.640379386,2
1.61696E+18,-72.52333276,1.779886105,2.272761392,0.236382113,2
1.61696E+18,-72.51340088,-0.747355075,3.303572759,-1.087841706,2
1.61696E+18,-72.50346875,-4.183977876,4.52820457,-2.776844887,2
1.61696E+18,-72.49353589,-8.996170652,6.719257986,-4.182373071,2
1.61696E+18,-72.48360376,-7.894130617,10.0796112,-5.257767383,2
1.61696E+18,-72.47367065,-6.985559144,14.06532685,-5.150079747,2
1.61696E+18,-72.46373877,-9.532022912,18.45502545,-3.933098743,2
1.61696E+18,-72.45380591,-7.584281409,20.6862437,-1.372063137,2
1.61696E+18,-72.44387378,-6.092790805,20.94551891,2.785753877,2
1.61696E+18,-72.43394092,-4.296477004,20.88869169,6.654228172,2
1.61696E+18,-72.42400879,-1.732976762,20.99775646,9.225020909,2
1.61696E+18,-72.41407568,0.015058453,20.43661545,9.329182125,2
1.61696E+18,-72.40414404,0.427433532,19.80204679,7.842845251,2
1.61696E+18,-72.39421191,-0.206714267,19.6606416,5.430598231,2
1.61696E+18,-72.38427881,-3.105422761,20.47517285,0.599799538,2
1.61696E+18,-72.37434692,-6.07904285,22.12315282,-5.891074055,2
1.61696E+18,-72.36441382,-4.688844045,20.7533702,-11.28322127,2
1.61696E+18,-72.35448169,1.508204423,12.54869128,-13.69735629,2
1.61696E+18,-72.34454883,1.547621072,4.022988272,-14.35628782,2
1.61696E+18,-72.33461694,-5.174200627,-2.175827205,-14.76321559,2
1.61696E+18,-72.32468384,-3.348643488,-7.758544335,-11.25469543,2
1.61696E+18,-72.31475171,6.894592341,-12.49222062,-2.725463659,2
1.61696E+18,-72.30481982,11.70186987,-12.96513507,4.039986753,2
1.61696E+18,-72.29488672,11.05586213,-11.7684703,6.467222084,2
1.61696E+18,-72.28495483,8.521092303,-8.642221021,5.960287876,2
1.61696E+18,-72.27502197,7.338676417,-4.417663298,4.825084991,2
1.61696E+18,-72.26508984,11.90017126,-1.734096414,3.335703635,2
1.61696E+18,-72.25515674,15.36996334,0.307515213,1.60417941,2
1.61696E+18,-72.24522485,14.65472716,1.751005463,-0.471632008,2
1.61696E+18,-72.23529199,8.127847019,1.378369836,-2.397546294,2
1.61696E+18,-72.22535962,1.373843298,-1.455546599,-4.480544701,2
1.61696E+18,-72.215427,4.440460236,-3.350407283,-5.024330384,2
1.61696E+18,-72.20549487,12.03950725,-4.895817109,-2.338939207,2
1.61696E+18,-72.19556177,19.97743376,-10.45775361,3.148659845,2
