time,seconds_elapsed,z,y,x,label
1.61691E+18,-445.6141472,0.778928609,-0.747276749,-0.66530223,4
1.61691E+18,-445.6041294,1.341812668,-0.194207398,-1.277413699,4
1.61691E+18,-445.5941113,1.420386438,-0.196693662,-1.490564283,4
1.61691E+18,-445.5840923,0.531518029,-0.083869831,-0.864671249,4
1.61691E+18,-445.5740745,-0.910960414,0.071914897,-0.003762275,4
1.61691E+18,-445.5640562,-1.49580496,-0.700301648,-0.191292679,4
1.61691E+18,-445.5540383,-0.984042017,-0.654141369,-0.351323082,4
1.61691E+18,-445.5440193,-0.023168694,-0.239074129,-0.882632291,4
1.61691E+18,-445.5340012,0.455460625,0.364647551,0.0332327,4
1.61691E+18,-445.5239834,-0.101036947,-0.467478396,0.983881712,4
1.61691E+18,-445.5139644,1.440008838,-0.52305123,-0.14810528,4
1.61691E+18,-445.5039463,1.263259356,-0.384089334,-1.543364729,4
1.61691E+18,-445.4939282,-0.225801975,-0.027967327,-1.449967484,4
1.61691E+18,-445.4839104,-0.052205404,0.084930446,-1.609668801,4
1.61691E+18,-445.4738921,0.119398533,0.582205429,-1.415310743,4
1.61691E+18,-445.463873,-2.049268279,1.495147957,-2.222736694,4
1.61691E+18,-445.4538552,-2.72079216,1.688278666,-0.628666444,4
1.61691E+18,-445.4438372,-5.493699123,-0.048458326,0.476772878,4
1.61691E+18,-445.4338184,-6.186931563,4.308598527,-2.664417946,4
1.61691E+18,-445.4238003,1.001769397,6.906197438,-2.717110841,4
1.61691E+18,-445.413782,3.448866781,8.013208248,0.61542147,4
1.61691E+18,-445.4037644,3.481228251,5.818339073,1.254453095,4
1.61691E+18,-445.3937451,3.242255828,2.597731013,0.733460698,4
1.61691E+18,-445.3837275,1.267912734,0.312986922,0.857093653,4
1.61691E+18,-445.3737095,-0.891219356,-3.287202639,0.97993692,4
1.61691E+18,-445.3636914,-0.730903707,-5.827721234,1.349747699,4
1.61691E+18,-445.3536724,2.041483616,-6.161271052,1.966539727,4
1.61691E+18,-445.3436543,5.067075885,-4.155333965,2.496198976,4
1.61691E+18,-445.3336365,5.816120813,-2.735594592,2.311902293,4
1.61691E+18,-445.3236182,3.887279825,-1.984056679,2.232279744,4
1.61691E+18,-445.3135994,2.020209358,-0.61888827,1.613797425,4
1.61691E+18,-445.3035813,2.20859141,0.117822662,0.787292387,4
1.61691E+18,-445.2935632,1.736853604,-0.120591542,-1.103750785,4
1.61691E+18,-445.2835454,1.30242466,0.55763096,-2.202361576,4
1.61691E+18,-445.2735264,0.047011927,0.157455,-1.582466467,4
1.61691E+18,-445.2635083,0.572666032,-0.072281977,-0.6170631,4
1.61691E+18,-445.2534902,1.698620611,0.856681127,-1.675368331,4
1.61691E+18,-445.2434724,1.653160591,0.8731512,-0.149982618,4
1.61691E+18,-445.2334534,1.701264988,1.26174369,0.767602767,4
1.61691E+18,-445.2234353,2.892399604,0.477928186,0.321676132,4
1.61691E+18,-445.2134172,4.358769795,-0.339397959,-0.64386299,4
1.61691E+18,-445.2033992,4.279427962,-0.283614697,-0.797038559,4
1.61691E+18,-445.1933801,4.42555785,-0.148626965,-0.746466383,4
1.61691E+18,-445.1833623,4.404940594,0.687508217,0.996562622,4
1.61691E+18,-445.1733442,5.17081683,1.098701538,2.057206086,4
1.61691E+18,-445.1633262,4.627971351,1.382452429,1.360400902,4
1.61691E+18,-445.1533071,3.962932155,1.259042469,0.451506773,4
1.61691E+18,-445.1432893,4.450740807,0.864560482,0.37534284,4
1.61691E+18,-445.1332712,5.689352628,1.683972201,0.452265629,4
1.61691E+18,-445.1232522,6.701245944,3.47979208,-0.003367431,4
1.61691E+18,-445.1132341,5.399358459,4.554934756,-0.764155988,4
1.61691E+18,-445.1032163,3.668179978,3.698117436,-1.501397957,4
1.61691E+18,-445.0931985,3.830515736,4.023413804,-1.926654583,4
1.61691E+18,-445.0831794,4.158558772,4.028607574,-1.173423017,4
1.61691E+18,-445.0731614,4.003844011,3.007636925,-0.51136313,4
1.61691E+18,-445.0631433,3.757089849,2.038481512,-0.394460506,4
1.61691E+18,-445.0531252,2.419337855,3.334365664,-0.128177467,4
1.61691E+18,-445.0431064,1.082514081,3.366432535,-0.931413419,4
1.61691E+18,-445.0330884,1.011019456,4.119281532,0.174178171,4
1.61691E+18,-445.0230703,1.635370667,4.568309202,0.334487975,4
1.61691E+18,-445.0130522,1.463752702,3.835587632,-1.671781704,4
1.61691E+18,-445.0030332,1.041838957,3.086561701,-2.138506067,4
1.61691E+18,-444.9930154,0.610522592,2.915072331,-1.947117233,4
1.61691E+18,-444.9829941,0.038159927,3.498874382,-2.89092427,4
1.61691E+18,-444.9729761,-1.687388439,4.128314441,-2.863547019,4
1.61691E+18,-444.962957,-1.396221134,3.619804947,-2.63628257,4
1.61691E+18,-444.952939,-1.734571046,3.743855397,-1.475256093,4
1.61691E+18,-444.9429214,-1.310682786,2.934497455,-1.130962178,4
1.61691E+18,-444.9329033,-1.342927351,2.535662679,-0.598541063,4
1.61691E+18,-444.9228843,-2.006455558,2.748544967,0.183414786,4
1.61691E+18,-444.9128662,-2.567033677,2.742893517,0.324862653,4
1.61691E+18,-444.9028484,-2.424725393,2.912106467,-0.178142398,4
1.61691E+18,-444.8928303,-2.586443895,3.2192017,-0.65027125,4
1.61691E+18,-444.8828113,-3.548897765,3.307893837,-0.84139471,4
1.61691E+18,-444.8727932,-3.986623997,3.328514893,-1.272006141,4
1.61691E+18,-444.8627751,-4.081903403,3.137228058,-1.701482431,4
1.61691E+18,-444.8527573,-3.934078986,2.939242019,-2.449628364,4
1.61691E+18,-444.8427383,-3.594211071,2.728385684,-3.514852872,4
1.61691E+18,-444.8327202,-3.218988935,2.269192009,-4.133163634,4
1.61691E+18,-444.8227021,-2.35212076,2.026907102,-4.943053784,4
1.61691E+18,-444.8126831,-1.239894847,1.541938934,-5.47543749,4
1.61691E+18,-444.8026653,-0.438700045,0.915848186,-5.853346674,4
