time,seconds_elapsed,z,y,x,label
1.61615E+18,-381.3344893,0.07336042,-0.060558441,-0.024789025,3
1.61615E+18,-381.3245562,-0.150799049,-0.159523622,-0.003345374,3
1.61615E+18,-381.314623,-0.270941093,-0.191131644,0.010830296,3
1.61615E+18,-381.3046902,-0.263507729,-0.153810725,0.020646893,3
1.61615E+18,-381.2947573,-0.121775783,-0.07449147,0.008278775,3
1.61615E+18,-381.2848242,0.060055533,0.000299494,-0.011924347,3
1.61615E+18,-381.2748911,0.223868377,0.076685619,-0.010968941,3
1.61615E+18,-381.2649583,0.276835412,0.114586456,-0.003129288,3
1.61615E+18,-381.2550254,0.214954418,0.111198568,0.004429699,3
1.61615E+18,-381.2450923,0.086960491,0.079115257,0.008760778,3
1.61615E+18,-381.2351592,-0.043213703,0.019606545,0.023723597,3
1.61615E+18,-381.2252261,-0.13182313,-0.023279607,0.015694534,3
1.61615E+18,-381.2152935,-0.128233581,-0.053354281,-0.002577239,3
1.61615E+18,-381.2053604,-0.078430563,-0.059640376,-0.040221189,3
1.61615E+18,-381.1954272,0.014755671,-0.065917118,-0.051660145,3
1.61615E+18,-381.1854941,0.105343119,-0.047674555,-0.054629918,3
1.61615E+18,-381.1755615,0.178142398,-0.011083193,-0.046977239,3
1.61615E+18,-381.1656284,0.187281982,0.020164105,-0.038895096,3
1.61615E+18,-381.1556953,0.143720489,0.055139996,-0.00333067,3
1.61615E+18,-381.1457622,0.059545245,0.089051837,0.025816679,3
1.61615E+18,-381.1358293,-0.030713703,0.089941771,0.05111369,3
1.61615E+18,-381.1258965,-0.07982757,0.073396368,0.059537756,3
1.61615E+18,-381.1159634,-0.07073767,0.055588105,0.040363675,3
1.61615E+18,-381.1060293,-0.037314124,0.010379501,0.00927144,3
1.61615E+18,-381.0960962,0.016393501,-0.030700551,-0.013533618,3
1.61615E+18,-381.0861631,0.063483753,-0.049042336,-0.035459052,3
1.61615E+18,-381.07623,0.096336222,-0.05438494,-0.055817794,3
1.61615E+18,-381.0662974,0.102260936,-0.053878378,-0.067345434,3
1.61615E+18,-381.0563643,0.093978845,-0.036087651,-0.056319511,3
1.61615E+18,-381.0464312,0.054157122,-0.037821124,-0.048015879,3
1.61615E+18,-381.036498,0.023933249,-0.031277912,-0.019207453,3
1.61615E+18,-381.0265654,0.008390812,-0.026949455,-0.00379383,3
1.61615E+18,-381.0166323,0.005137947,-0.029570451,0.017012711,3
1.61615E+18,-381.0066992,0.02912731,-0.029611294,0.030012724,3
1.61615E+18,-380.9967661,0.079155954,-0.022112317,0.028847297,3
1.61615E+18,-380.986833,0.104791331,-0.025901553,0.022043261,3
1.61615E+18,-380.9769004,0.087619831,-0.019463702,0.020024368,3
1.61615E+18,-380.9669673,0.074814126,-0.019480653,0.029257019,3
1.61615E+18,-380.9570342,0.012182021,-0.002725479,0.047309046,3
1.61615E+18,-380.9471011,-0.033992286,-0.003784122,0.051035191,3
